person_id	DV1	DV2	DV3	DV4	IV1	IV2	IV3	IV4	IV5	TEST
179	N	Y	N	N	N	N	N	Y	42	F
180	N	N	Y	N	Y	Y	Y	N	30	F
181	N	Y	N	Y	Y	N	Y	Y	26	F
182	Y	Y	N	Y	Y	N	Y	Y	70	F
183	Y	N	Y	N	N	N	Y	N	27	F
184	N	Y	N	N	N	N	N	Y	43	F
185	N	N	N	N	N	N	N	N	28	F
186	N	Y	Y	Y	Y	N	N	Y	28	T
187	Y	N	N	N	N	N	Y	N	27	F
188	Y	N	Y	Y	Y	N	Y	N	37	T
189	N	Y	N	Y	Y	N	N	Y	45	F
190	Y	N	N	Y	N	Y	Y	N	40	F
191	Y	Y	N	N	N	Y	Y	N	88	F
192	N	Y	N	N	N	N	Y	Y	59	F
193	N	Y	Y	N	Y	Y	N	N	71	F
194	Y	Y	N	N	N	Y	Y	Y	66	F
195	N	Y	N	N	N	N	Y	Y	19	F
196	N	Y	N	N	N	N	Y	Y	82	F
197	Y	Y	N	N	N	Y	Y	Y	29	F
198	N	N	Y	Y	Y	N	N	Y	26	F
199	Y	N	Y	Y	Y	N	Y	N	25	F
200	Y	Y	N	N	N	Y	N	Y	28	T
201	N	Y	Y	Y	N	N	Y	Y	29	T
202	N	N	Y	Y	Y	N	Y	N	56	T
203	N	N	N	N	Y	Y	N	Y	38	F
204	N	Y	N	N	N	N	N	Y	29	F
205	N	N	N	Y	Y	N	N	N	26	F
206	Y	N	N	N	N	Y	Y	N	79	F
207	Y	N	N	Y	Y	Y	Y	N	71	F
208	Y	N	N	N	Y	Y	Y	N	73	F
209	Y	N	N	N	N	N	Y	N	36	T
210	N	Y	Y	N	N	Y	Y	N	54	T
211	Y	Y	N	N	N	Y	N	Y	52	F
212	N	Y	Y	N	Y	N	N	Y	42	F
213	N	Y	N	N	N	N	Y	N	70	T
214	Y	N	N	N	N	N	Y	N	30	F
215	Y	Y	N	Y	Y	Y	N	Y	54	F
216	Y	Y	Y	N	N	Y	Y	Y	49	F
217	Y	N	N	N	N	N	N	Y	50	T
218	Y	N	N	Y	Y	Y	N	N	36	F
219	Y	Y	N	N	N	Y	Y	Y	83	F
220	Y	N	N	N	N	Y	N	N	87	F
221	Y	N	Y	Y	N	Y	Y	N	28	F
222	Y	N	N	N	N	Y	Y	Y	50	F
223	Y	N	N	N	N	Y	Y	N	34	F
224	N	Y	Y	Y	Y	Y	N	Y	50	F
225	Y	Y	N	N	N	Y	Y	Y	63	F
226	Y	N	N	N	Y	Y	Y	N	53	F
227	Y	Y	N	Y	Y	N	Y	N	43	F
228	N	N	Y	N	N	Y	Y	N	25	F
229	Y	Y	N	Y	Y	Y	Y	N	52	F
230	Y	N	N	N	N	Y	Y	Y	31	F
231	N	Y	N	N	Y	N	N	N	29	F
232	Y	N	Y	Y	N	N	N	N	25	T
233	Y	Y	N	Y	Y	Y	N	Y	63	T
234	N	N	N	N	N	Y	N	N	52	F
235	N	Y	N	Y	N	N	Y	Y	25	F
236	Y	Y	Y	N	N	N	N	Y	90	F
237	Y	N	N	N	N	N	N	Y	25	F
238	N	Y	Y	Y	N	N	Y	Y	50	F
239	Y	N	N	Y	Y	Y	Y	N	46	T
240	Y	N	N	N	Y	Y	Y	N	30	T
241	N	N	Y	Y	Y	N	N	N	50	F
242	Y	Y	N	Y	Y	Y	Y	Y	71	F
243	Y	Y	N	N	N	Y	Y	N	54	F
244	Y	Y	Y	N	N	N	Y	Y	66	F
245	N	N	Y	Y	Y	Y	Y	N	47	F
246	N	N	N	N	N	Y	Y	N	50	F
247	N	Y	N	Y	Y	N	N	Y	63	T
248	Y	N	N	N	N	Y	N	N	49	F
249	Y	N	N	N	Y	Y	Y	Y	79	F
250	Y	N	Y	N	N	Y	Y	N	63	T
251	Y	N	N	N	N	N	Y	N	48	F
252	Y	Y	Y	N	N	N	N	Y	49	F
253	Y	Y	Y	N	N	Y	N	Y	77	T
254	Y	Y	N	Y	Y	Y	Y	N	52	F
255	Y	Y	N	N	N	Y	Y	Y	42	F
256	Y	Y	Y	N	N	Y	Y	Y	70	F
257	Y	Y	N	N	N	N	N	Y	47	F
258	Y	Y	Y	N	Y	Y	N	Y	27	F
259	N	N	Y	Y	Y	N	Y	N	27	F
260	N	N	Y	N	Y	N	N	N	68	T
261	Y	Y	Y	N	N	Y	Y	N	49	F
262	N	Y	Y	Y	Y	Y	N	Y	78	F
263	Y	N	Y	N	N	Y	Y	N	68	T
264	Y	N	Y	N	N	Y	Y	N	18	F
265	Y	N	Y	N	N	Y	N	N	27	T
266	Y	N	Y	Y	Y	N	Y	N	43	F
267	N	Y	N	N	Y	Y	N	Y	43	F
268	Y	N	N	N	Y	Y	Y	Y	24	F
269	Y	N	Y	Y	Y	Y	N	N	37	F
270	N	Y	N	N	N	N	Y	Y	75	F
271	N	Y	N	Y	N	Y	N	Y	54	T
272	Y	N	N	N	Y	Y	N	N	27	T
273	Y	Y	N	Y	Y	Y	Y	Y	20	F
274	Y	Y	N	N	N	N	N	Y	33	F
275	N	Y	N	Y	Y	N	N	N	62	F
276	Y	Y	N	N	N	N	Y	Y	26	F
277	Y	N	N	Y	Y	Y	Y	N	78	F
278	N	Y	N	N	Y	Y	N	Y	88	F
279	Y	N	Y	N	N	Y	Y	N	79	F
280	Y	N	N	N	Y	N	Y	Y	53	T
281	N	Y	N	N	N	N	Y	Y	55	F
282	N	N	N	N	N	N	N	N	32	F
283	N	Y	Y	Y	Y	N	N	Y	55	F
284	N	Y	Y	Y	N	N	Y	N	79	T
285	Y	N	Y	Y	Y	Y	Y	N	72	F
286	N	Y	N	Y	Y	N	N	Y	43	F
287	N	N	Y	N	N	N	N	N	35	F
288	Y	Y	Y	N	N	Y	Y	Y	48	F
289	Y	Y	Y	N	Y	Y	Y	Y	45	F
290	Y	N	Y	N	N	Y	Y	Y	53	F
291	Y	Y	N	Y	Y	Y	Y	Y	28	F
292	Y	N	N	N	N	N	Y	N	44	T
293	Y	Y	N	Y	Y	N	Y	Y	81	F
294	N	Y	Y	Y	N	N	Y	Y	84	F
295	N	Y	N	N	N	N	Y	N	51	F
296	N	Y	N	Y	Y	N	N	Y	30	F
297	Y	Y	N	Y	Y	Y	Y	Y	88	F
298	N	Y	Y	N	N	N	N	N	71	F
299	Y	Y	Y	Y	N	Y	Y	Y	49	F
300	N	N	Y	Y	Y	Y	N	N	30	F
301	Y	Y	N	Y	Y	Y	Y	Y	27	F
302	Y	Y	N	Y	Y	Y	N	N	84	F
303	Y	N	N	N	N	Y	N	N	50	F
304	Y	N	N	N	N	N	Y	N	24	F
305	Y	N	N	Y	N	Y	N	N	26	T
306	Y	Y	N	N	N	Y	N	Y	52	F
307	Y	Y	Y	Y	Y	N	Y	N	28	F
308	N	N	N	Y	Y	N	Y	N	42	F
309	N	Y	Y	N	N	N	Y	Y	53	T
310	Y	Y	N	N	N	N	N	Y	60	T
311	N	N	N	N	Y	Y	N	N	71	F
312	N	Y	N	N	N	N	N	Y	70	F
313	N	N	N	Y	Y	N	Y	Y	27	F
314	Y	N	Y	N	N	Y	Y	Y	34	F
315	N	N	N	N	N	N	N	N	23	F
316	Y	Y	N	N	Y	Y	Y	Y	48	F
317	N	N	N	N	N	Y	Y	N	42	F
318	Y	Y	Y	N	N	Y	Y	Y	33	F
319	Y	Y	N	Y	N	Y	Y	N	48	F
320	Y	N	Y	N	N	Y	Y	N	34	F
321	Y	Y	N	N	Y	N	Y	N	62	T
322	Y	N	N	N	N	N	Y	N	72	F
323	Y	Y	Y	Y	Y	Y	N	Y	67	F
324	Y	Y	Y	Y	Y	Y	Y	Y	49	F
325	Y	N	N	Y	Y	N	Y	N	66	F
326	N	Y	Y	N	N	N	Y	N	74	F
327	Y	Y	Y	Y	N	Y	Y	Y	26	T
328	Y	N	Y	Y	Y	N	Y	Y	35	T
329	Y	Y	N	N	N	N	Y	Y	76	F
330	Y	Y	Y	Y	N	Y	Y	Y	68	F
331	N	Y	N	N	Y	N	Y	N	58	T
332	Y	N	N	N	N	Y	Y	N	28	F
333	Y	N	N	Y	Y	Y	Y	Y	33	F
334	Y	Y	N	N	N	Y	N	Y	34	F
335	Y	N	N	Y	Y	N	N	N	39	F
336	Y	Y	N	N	N	Y	Y	N	83	T
337	N	N	N	Y	N	Y	N	N	34	F
338	Y	Y	Y	Y	Y	N	Y	N	57	F
339	N	Y	N	Y	Y	N	Y	N	58	F
340	Y	Y	N	Y	Y	Y	Y	Y	72	F
341	Y	N	N	N	N	N	Y	N	28	F
342	N	N	N	Y	N	N	N	Y	49	T
343	Y	Y	N	Y	Y	Y	Y	Y	28	F
344	N	Y	N	Y	Y	N	N	Y	47	F
345	N	N	N	Y	Y	N	Y	Y	27	F
346	N	Y	N	Y	Y	N	N	N	78	F
347	N	N	Y	Y	Y	N	Y	N	57	F
348	Y	N	Y	N	N	Y	N	Y	25	F
349	N	Y	N	N	N	N	N	N	42	F
350	Y	N	Y	Y	Y	N	Y	N	20	T
351	N	N	Y	Y	Y	N	N	N	34	F
352	N	N	N	Y	N	N	Y	Y	46	F
353	N	N	Y	N	N	N	Y	N	86	F
354	N	N	N	Y	Y	N	Y	Y	65	F
355	Y	N	N	N	Y	Y	Y	N	23	T
356	N	Y	Y	N	Y	N	N	Y	86	F
357	Y	N	N	N	N	N	N	N	54	F
358	N	N	Y	Y	Y	N	Y	N	82	F
359	N	Y	Y	Y	Y	N	N	Y	82	F
360	N	Y	Y	N	N	Y	Y	Y	72	T
361	Y	N	Y	N	N	N	Y	N	75	F
362	Y	N	N	Y	N	N	Y	N	31	F
363	Y	N	N	N	Y	Y	Y	N	47	F
364	Y	N	Y	Y	Y	Y	Y	N	19	F
365	Y	N	Y	Y	Y	Y	Y	Y	26	F
366	N	Y	Y	N	Y	Y	N	N	50	T
367	Y	Y	Y	N	N	Y	N	N	53	T
368	Y	N	N	Y	Y	Y	Y	N	27	F
369	N	Y	N	N	N	N	Y	N	66	F
370	Y	N	Y	Y	Y	N	N	N	46	F
371	N	N	Y	Y	Y	N	Y	N	70	F
372	Y	N	Y	Y	Y	Y	Y	N	38	T
373	Y	Y	Y	N	Y	Y	N	N	54	F
374	N	Y	Y	Y	Y	N	N	N	22	F
375	N	N	N	N	N	Y	Y	Y	35	F
376	Y	Y	N	Y	Y	Y	Y	Y	51	F
377	Y	Y	Y	Y	Y	N	Y	N	43	F
378	Y	Y	Y	N	N	N	Y	Y	88	F
379	N	Y	N	Y	Y	N	N	N	80	F
380	Y	N	Y	Y	Y	Y	Y	N	28	F
381	N	Y	N	N	N	N	Y	Y	45	F
382	Y	N	N	Y	Y	Y	Y	N	32	F
383	Y	Y	Y	N	N	Y	Y	Y	45	T
384	N	Y	N	Y	N	N	Y	Y	75	F
385	Y	N	N	N	N	Y	Y	N	61	T
386	Y	N	Y	N	Y	Y	Y	Y	25	T
387	Y	Y	N	N	Y	Y	N	N	47	F
388	Y	N	N	N	N	Y	N	N	19	F
389	N	Y	N	N	N	N	Y	Y	72	F
390	Y	N	Y	N	N	Y	Y	N	27	F
391	Y	N	N	N	N	Y	Y	N	90	F
392	N	N	N	N	N	N	Y	N	58	F
393	N	N	Y	N	N	Y	N	N	42	F
394	Y	N	N	Y	Y	Y	Y	N	18	F
395	N	N	Y	N	N	N	Y	Y	33	F
396	N	N	Y	N	N	N	N	N	28	F
397	Y	Y	N	Y	Y	Y	Y	Y	46	F
398	Y	N	N	Y	Y	Y	N	N	58	F
399	Y	Y	N	Y	Y	Y	Y	Y	54	T
400	Y	Y	Y	Y	Y	Y	N	Y	24	F
401	Y	N	N	Y	Y	N	Y	N	27	F
402	N	N	N	Y	Y	N	N	Y	60	F
403	N	Y	N	N	N	N	Y	Y	27	F
404	Y	Y	N	Y	Y	Y	Y	N	35	F
405	Y	N	N	N	N	Y	Y	Y	24	F
406	Y	Y	N	Y	Y	Y	Y	Y	64	F
407	N	N	N	N	N	N	Y	N	66	F
408	Y	Y	Y	N	N	N	Y	Y	38	F
409	N	N	N	Y	Y	Y	Y	N	69	T
410	Y	Y	Y	Y	Y	Y	N	Y	43	F
411	Y	N	Y	N	N	N	Y	N	67	F
412	Y	Y	N	Y	N	N	Y	N	45	F
413	Y	Y	Y	N	N	N	Y	N	64	T
414	N	Y	N	Y	Y	N	Y	N	72	F
415	Y	N	N	N	N	Y	N	N	28	F
416	Y	N	N	Y	Y	Y	Y	N	57	F
417	N	Y	N	Y	Y	N	Y	Y	74	T
418	N	Y	Y	N	N	N	N	N	52	F
419	Y	Y	Y	Y	Y	N	Y	Y	60	F
420	Y	N	N	Y	Y	Y	Y	N	28	F
421	Y	Y	Y	N	Y	Y	N	Y	31	F
422	Y	N	N	Y	N	Y	Y	N	75	F
423	N	N	N	N	Y	N	Y	N	65	F
424	Y	N	N	Y	Y	Y	Y	N	57	F
425	N	Y	N	Y	Y	N	Y	N	87	F
426	N	Y	Y	Y	Y	N	Y	Y	28	F
427	Y	N	Y	Y	Y	N	Y	Y	20	F
428	Y	N	N	Y	N	N	Y	N	36	F
429	N	N	Y	N	N	N	Y	N	25	F
430	Y	Y	N	N	N	N	Y	N	60	F
431	Y	N	Y	N	N	Y	Y	N	77	F
432	Y	Y	N	Y	N	Y	Y	N	48	F
433	N	N	Y	N	N	N	N	Y	27	F
434	Y	Y	Y	Y	Y	Y	Y	Y	57	F
435	Y	N	N	Y	Y	Y	Y	N	26	F
436	Y	Y	N	N	N	Y	Y	Y	59	F
437	Y	N	N	N	N	N	N	N	57	F
438	Y	Y	N	Y	Y	N	N	Y	36	F
439	N	Y	N	N	N	N	Y	N	45	F
440	Y	Y	N	N	N	Y	N	N	46	F
441	N	N	Y	N	N	N	N	N	63	F
442	N	N	N	Y	Y	N	Y	N	23	F
443	Y	Y	Y	Y	Y	Y	Y	Y	53	F
444	N	N	Y	Y	Y	N	N	N	57	F
445	Y	N	Y	Y	N	Y	Y	Y	37	F
446	N	Y	N	Y	Y	N	Y	Y	44	T
447	Y	N	N	N	N	N	Y	N	63	F
448	Y	Y	N	Y	Y	Y	Y	N	50	F
449	Y	Y	N	Y	Y	N	Y	Y	66	F
450	N	Y	N	Y	Y	Y	N	Y	26	F
451	N	Y	N	Y	Y	N	N	N	71	T
452	Y	N	N	Y	Y	Y	Y	N	59	T
453	Y	Y	N	N	N	N	N	Y	18	F
454	Y	N	N	Y	Y	Y	Y	N	26	F
455	Y	Y	Y	Y	Y	Y	N	Y	40	F
456	N	Y	N	N	N	N	Y	Y	42	T
457	Y	Y	Y	Y	N	Y	Y	N	59	F
458	Y	N	N	N	N	Y	Y	N	26	F
459	Y	N	N	N	N	N	N	N	36	F
460	Y	N	Y	Y	Y	Y	Y	N	29	F
461	N	Y	Y	N	N	Y	Y	Y	32	F
462	Y	N	Y	N	N	Y	Y	N	77	F
463	Y	N	N	N	N	Y	Y	Y	40	F
464	Y	Y	Y	Y	Y	Y	Y	Y	45	F
465	Y	N	N	Y	Y	Y	Y	Y	26	F
466	Y	Y	Y	Y	Y	Y	N	N	66	F
467	N	N	N	Y	N	N	N	Y	26	F
468	Y	Y	Y	N	N	N	Y	Y	68	F
469	Y	Y	N	Y	Y	Y	Y	Y	67	T
470	Y	N	Y	N	N	Y	N	N	23	F
471	Y	Y	Y	Y	Y	N	Y	Y	81	F
472	Y	N	Y	Y	Y	Y	Y	N	74	F
473	Y	Y	N	N	Y	Y	Y	N	76	F
474	N	Y	N	Y	Y	N	N	Y	49	F
475	N	Y	Y	N	N	Y	N	Y	39	F
476	Y	N	N	Y	Y	Y	Y	N	25	F
477	Y	N	N	Y	Y	Y	Y	N	33	F
478	Y	Y	Y	Y	Y	Y	Y	N	44	T
479	Y	N	N	Y	Y	Y	N	Y	28	F
480	Y	Y	N	Y	N	Y	Y	Y	43	F
481	Y	N	N	Y	Y	Y	Y	N	28	F
482	Y	N	Y	N	N	Y	Y	N	63	F
483	N	N	N	N	N	N	Y	N	28	F
484	N	Y	Y	Y	Y	N	Y	N	29	F
485	Y	Y	N	Y	N	N	Y	Y	77	F
486	Y	Y	Y	Y	N	Y	Y	N	79	F
487	N	Y	Y	Y	Y	N	Y	Y	44	F
488	Y	N	N	Y	Y	Y	Y	N	73	F
489	N	N	N	N	N	N	Y	N	52	F
490	Y	N	N	N	Y	Y	Y	N	27	F
491	Y	Y	Y	N	N	Y	Y	N	46	F
492	Y	N	Y	N	N	N	Y	N	36	T
493	N	Y	Y	Y	Y	N	Y	Y	75	F
494	N	N	N	N	N	N	Y	N	58	F
495	N	Y	Y	N	N	Y	N	N	43	F
496	N	Y	N	Y	Y	N	N	N	46	F
497	Y	N	N	N	N	Y	N	N	34	F
498	Y	Y	N	N	Y	Y	Y	N	67	F
499	N	Y	Y	N	N	N	N	Y	67	F
500	Y	Y	Y	N	N	N	Y	N	57	F
501	Y	Y	N	Y	Y	Y	Y	Y	77	F
502	N	N	N	Y	Y	N	Y	N	85	F
503	N	N	N	Y	Y	N	N	N	26	F
504	Y	Y	Y	N	Y	Y	Y	N	52	F
505	N	N	Y	Y	Y	N	N	N	22	F
506	Y	N	N	Y	Y	Y	Y	N	30	F
507	Y	Y	N	Y	Y	N	Y	Y	47	T
508	N	Y	Y	Y	Y	N	Y	Y	78	T
509	N	N	N	Y	N	N	N	N	61	F
510	Y	Y	N	Y	Y	Y	Y	Y	56	F
511	Y	Y	Y	N	N	Y	Y	N	71	F
512	N	N	Y	N	N	N	Y	N	44	F
513	N	N	N	Y	Y	N	Y	Y	80	F
514	N	N	Y	Y	Y	N	Y	N	27	F
515	Y	Y	N	N	N	Y	N	N	44	F
516	Y	Y	Y	N	Y	Y	Y	Y	42	F
517	Y	Y	N	Y	Y	N	N	N	23	T
518	Y	N	Y	Y	Y	Y	Y	Y	31	F
519	Y	Y	Y	Y	N	Y	N	Y	27	F
520	N	Y	N	N	N	N	N	N	32	T
521	Y	N	N	N	N	Y	Y	N	27	F
522	Y	N	N	N	N	N	Y	N	60	F
523	Y	Y	Y	Y	Y	Y	Y	Y	41	F
524	Y	Y	N	N	N	Y	N	Y	70	F
525	Y	N	N	Y	Y	N	Y	N	30	F
526	N	Y	N	N	N	N	N	N	54	F
527	N	Y	N	N	N	Y	N	Y	56	F
528	N	Y	N	N	N	N	N	Y	33	F
529	Y	N	Y	Y	N	N	Y	N	47	F
530	N	Y	N	N	Y	N	N	N	62	T
531	N	Y	N	N	Y	Y	N	Y	63	T
