"CustomerID","Keycode","ResponseDate","PreviousOrders","MarketingChannel","Type","Zip","Age","Segment","TotalSpending","TotalPurchases"
22654958,"AB6","01/11/2010",10,"E","R",6013,95,"A",78,8
22714059,"BE4","01/22/2010",10,"F","R",1020,93,"A",NA,NA
22853659,"AA5","01/23/2010",16,"F","R",48230,104,"A",30,3
23471840,"AA3","01/25/2010",6,"F","N",92211,96,"A",NA,NA
23805633,"BB3","01/21/2010",8,"F","R",97062,93,"A",NA,NA
23971518,"AA1","01/22/2010",12,"F","R",23062,72,"A",NA,NA
23974199,"AC9","01/22/2010",12,"F","R",33705,91,"C",NA,NA
24737272,"AB8","01/13/2010",10,"F","R",92057,90,"A",180.05,16
25359571,"AA6","01/25/2010",8,"F","R",19085,76,"A",NA,NA
27343805,"AV3","01/20/2010",17,"F","R",88001,100,"A",NA,NA
28319051,"AP6","01/19/2010",17,"F","R",46516,97,"A",NA,NA
28455830,"AA3","01/20/2010",11,"F","R",34652,97,"A",10,1
28481638,"AF4","01/11/2010",16,"F","R",13601,109,"A",NA,NA
28673093,"AA2","01/24/2010",11,"F","R",23177,98,"C",NA,NA
29088549,"AF4","01/20/2010",17,"F","R",14223,100,"A",NA,NA
29219748,"AA6","01/26/2010",12,"F","R",33756,83,"A",NA,NA
29267002,"AF4","01/04/2010",11,"F","R",24018,89,"A",175,4
29364031,"AJ8","01/21/2010",6,"F","N",43357,95,"A",NA,NA
29497492,"AA5","01/18/2010",10,"F","R",98040,92,"A",NA,NA
29618956,"AA5","01/25/2010",14,"F","R",7452,93,"A",55,5
29808458,"AF8","01/15/2010",16,"F","R",97526,88,"A",NA,NA
29872033,"AF4","01/15/2010",8,"F","R",26070,95,"A",NA,NA
29958998,"AA3","01/22/2010",11,"F","R",34613,89,"A",NA,NA
30173306,"AF4","01/19/2010",15,"F","R",41101,92,"A",NA,NA
30183834,"AE3","01/21/2010",9,"F","R",93111,93,"A",170.5,5
30412878,"AA2","01/20/2010",10,"F","R",33781,95,"A",NA,NA
30435168,"AD2","01/25/2010",16,"F","R",53142,98,"A",NA,NA
30469191,"AS1","01/12/2010",14,"F","R",96822,90,"A",NA,NA
30484299,"AB3","01/26/2010",11,"F","R",10801,93,"A",10,1
31007107,"AA5","01/13/2010",18,"F","R",62040,0,"A",NA,NA
31193758,"AA5","01/25/2010",14,"F","R",15044,92,"A",331,36
31259468,"AV9","01/24/2010",8,"F","R",34112,93,"A",NA,NA
31512072,"AH7","01/21/2010",12,"F","R",8736,89,"A",NA,NA
31544273,"AG5","01/13/2010",14,"D","R",6405,85,"A",NA,NA
31600653,"AA4","01/17/2010",14,"F","R",7403,93,"A",NA,NA
31623358,"AA1","01/12/2010",11,"F","R",89048,70,"A",NA,NA
31827843,"AF4","01/12/2010",16,"F","R",13679,96,"A",NA,NA
31829146,"AE8","01/21/2010",13,"F","R",8361,91,"A",NA,NA
31892490,"AH7","01/20/2010",14,"F","R",8721,88,"A",NA,NA
31917206,"AF6","01/12/2010",12,"F","R",32726,86,"A",NA,NA
32123333,"BJ9","01/12/2010",20,"F","R",62258,93,"A",NA,NA
32127979,"BB3","01/26/2010",10,"F","R",97128,0,"A",NA,NA
32566341,"AL7","01/16/2010",13,"F","R",29401,91,"A",NA,NA
32668113,"AB5","01/13/2010",8,"E","R",6026,80,"A",NA,NA
32669574,"AJ7","01/23/2010",14,"F","R",25951,90,"A",20,2
32738593,"AA5","01/12/2010",13,"F","R",98058,88,"A",45,3
32851206,"BB2","01/25/2010",9,"F","R",97233,95,"A",NA,NA
33099664,"AG2","01/14/2010",11,"E","R",98021,79,"A",NA,NA
33188590,"AM4","01/21/2010",10,"F","R",45230,94,"A",NA,NA
33979055,"AD6","01/11/2010",9,"C","R",23226,95,"A",35,3
34002790,"AA3","01/24/2010",10,"F","R",8022,93,"A",NA,NA
34081414,"AD7","01/09/2010",15,"F","R",21215,97,"C",NA,NA
34104182,"AA3","01/26/2010",8,"F","R",44116,104,"A",NA,NA
34360420,"AF6","01/21/2010",7,"F","R",30512,104,"A",NA,NA
34572107,"AA6","01/22/2010",17,"F","R",22042,97,"A",NA,NA
34773507,"AA4","01/16/2010",17,"F","R",60526,90,"A",NA,NA
34862847,"AG2","01/12/2010",9,"E","R",85710,93,"A",70,7
35101302,"AA4","01/26/2010",11,"F","R",60187,92,"A",NA,NA
35160266,"AA5","01/22/2010",11,"F","R",7470,89,"A",NA,NA
35602093,"AS2","01/12/2010",13,"F","R",96826,96,"A",557,18
35742931,"BE4","01/16/2010",17,"F","R",1106,85,"A",NA,NA
36007490,"AA5","01/19/2010",13,"F","R",48309,94,"A",82.5,12
36104206,"AH7","01/04/2010",11,"D","R",34275,90,"A",NA,NA
36222222,"AD7","01/16/2010",14,"D","R",32607,95,"A",NA,NA
36225605,"AC7","01/13/2010",9,"F","R",93446,97,"A",NA,NA
36471597,"AC3","01/14/2010",11,"D","R",48706,83,"A",NA,NA
36473700,"AF4","01/11/2010",12,"F","R",24401,94,"A",NA,NA
36517902,"AA1","01/10/2010",11,"F","R",92128,95,"A",NA,NA
36521532,"AB3","01/08/2010",9,"E","R",45429,85,"A",NA,NA
36744548,"AA6","01/26/2010",10,"F","R",12603,89,"A",NA,NA
36830685,"AA5","01/21/2010",14,"F","R",55047,101,"A",440,18
36961993,"BB3","01/26/2010",14,"F","R",97223,89,"A",NA,NA
36980431,"BC1","01/23/2010",15,"F","R",96001,109,"A",30,2
37067774,"AA5","01/15/2010",11,"F","R",91001,92,"C",20,2
37429719,"AD8","01/26/2010",17,"C","R",34698,100,"A",NA,NA
37505393,"AA3","01/25/2010",16,"F","R",8831,93,"A",NA,NA
37558939,"AX8","01/14/2010",14,"F","R",55343,91,"A",105,7
37586690,"AF4","01/10/2010",17,"F","R",13601,95,"A",NA,NA
37968658,"AA2","01/04/2010",9,"C","R",91011,81,"A",NA,NA
38103263,"AH7","01/26/2010",10,"F","R",8759,95,"A",NA,NA
38142345,"AY7","01/20/2010",13,"F","R",7920,96,"A",160,16
38143855,"AL4","01/21/2010",15,"F","R",8052,104,"A",NA,NA
38271896,"AA3","01/26/2010",15,"F","R",7726,96,"A",NA,NA
38272399,"AA2","01/14/2010",16,"F","R",85375,98,"A",NA,NA
38274411,"AM8","01/20/2010",10,"F","R",3301,92,"A",NA,NA
38311247,"AF4","01/16/2010",9,"F","R",17011,92,"A",NA,NA
38345195,"AA7","01/03/2010",10,"D","R",21212,91,"A",51.5,3
38404737,"AA6","01/13/2010",16,"F","R",22151,93,"A",NA,NA
38424594,"AF4","01/18/2010",10,"F","R",25304,80,"A",NA,NA
38517496,"AV9","01/23/2010",11,"F","R",66047,93,"A",NA,NA
38763603,"AR6","01/20/2010",13,"F","R",25443,90,"A",NA,NA
38791844,"AA5","01/11/2010",9,"F","R",94518,57,"A",NA,NA
38853719,"AC2","01/26/2010",9,"F","R",8690,84,"A",15,3
38965661,"AF4","01/26/2010",12,"F","R",43935,95,"A",NA,NA
38982591,"BH7","01/22/2010",11,"F","R",28428,72,"A",NA,NA
39113410,"AA5","01/20/2010",16,"F","R",55345,90,"A",135,9
39143177,"BC5","01/18/2010",12,"F","R",14621,102,"A",25,1
39151345,"AA5","01/21/2010",17,"F","R",48309,95,"A",NA,NA
39182654,"AT7","01/18/2010",14,"F","R",2638,100,"A",NA,NA
39338256,"AA5","01/18/2010",15,"F","N",98136,94,"A",NA,NA
39541644,"AF4","01/06/2010",16,"F","R",24018,92,"A",NA,NA
39603246,"AF4","01/04/2010",15,"F","R",13205,88,"A",10,1
39931738,"AF4","01/12/2010",15,"F","R",45638,87,"A",60,6
40006553,"AF8","01/15/2010",9,"F","R",97058,100,"A",NA,NA
40213647,"AA6","01/25/2010",11,"F","R",34653,84,"A",NA,NA
40291437,"BE6","01/17/2010",13,"F","R",55003,86,"A",36,4
40557456,"BK1","01/24/2010",15,"F","R",8107,91,"A",14.5,3
40585242,"AC3","01/21/2010",15,"F","R",63141,83,"A",NA,NA
40882060,"AA2","01/25/2010",9,"F","R",2330,91,"A",105,8
41138561,"AC1","01/26/2010",12,"E","R",92029,86,"A",NA,NA
41139833,"AA9","01/05/2010",16,"C","R",32162,86,"A",NA,NA
41450198,"AA6","01/17/2010",10,"F","R",37205,95,"A",NA,NA
41502196,"AD2","01/20/2010",14,"F","R",8742,92,"A",190,18
41531880,"AW9","01/25/2010",16,"F","R",32935,92,"A",NA,NA
41644659,"AA2","01/25/2010",9,"F","R",19440,97,"A",NA,NA
41667395,"AA5","01/22/2010",14,"F","R",98026,89,"A",NA,NA
41684234,"AA5","01/16/2010",10,"F","R",2804,103,"A",NA,NA
41705385,"AA3","01/21/2010",9,"F","R",34601,87,"A",NA,NA
41833872,"AX5","01/22/2010",9,"F","R",46368,90,"A",NA,NA
42035311,"AG2","01/11/2010",10,"E","R",98125,92,"A",NA,NA
42040154,"AA3","01/21/2010",10,"F","R",19063,93,"A",20,2
42146050,"AE6","01/14/2010",9,"E","R",56601,92,"A",NA,NA
42278879,"BA3","01/23/2010",8,"F","R",61550,96,"A",13,3
42287086,"AA9","01/14/2010",12,"F","R",48178,95,"A",NA,NA
42312462,"AC7","01/15/2010",10,"F","R",93010,91,"A",NA,NA
42420760,"AG4","01/04/2010",14,"C","R",74105,84,"A",NA,NA
42493759,"AY1","01/20/2010",12,"F","R",57078,96,"A",10,1
42692145,"AE6","01/22/2010",9,"F","R",63129,77,"A",10,1
42798900,"AA3","01/14/2010",13,"F","R",85208,95,"A",NA,NA
42943993,"AJ3","01/16/2010",13,"F","R",4448,95,"C",40,2
43115203,"AW7","01/22/2010",9,"F","N",54460,92,"A",NA,NA
43147578,"BC8","01/24/2010",17,"F","R",48602,96,"A",5,1
43157353,"AA6","01/26/2010",16,"F","R",63011,99,"A",145,5
43179266,"AH5","01/26/2010",16,"F","R",60061,97,"A",NA,NA
43253145,"AY1","01/26/2010",17,"F","R",57059,93,"A",3,1
43533231,"BC5","01/24/2010",9,"F","R",55437,89,"A",NA,NA
43644673,"AF4","01/12/2010",10,"F","R",13039,92,"A",NA,NA
43731769,"AA6","01/11/2010",9,"F","R",44223,90,"A",150,3
43879121,"AA3","01/20/2010",17,"F","R",7081,98,"A",NA,NA
43992882,"AF4","01/14/2010",17,"F","R",14223,95,"A",NA,NA
44079051,"AM4","01/16/2010",12,"F","R",45236,91,"A",NA,NA
44162766,"AD2","01/26/2010",10,"F","R",8840,101,"A",NA,NA
44284404,"AA3","01/15/2010",16,"F","R",48706,95,"A",NA,NA
44566487,"AJ6","01/20/2010",10,"F","R",15061,88,"A",223,15
44691699,"AB8","01/20/2010",9,"F","R",6830,96,"A",15,3
44694099,"AK2","01/20/2010",18,"F","R",7621,93,"A",NA,NA
44774552,"AR1","01/22/2010",18,"F","R",81506,96,"A",NA,NA
44834141,"AA3","01/20/2010",17,"F","R",34285,87,"A",NA,NA
44887669,"AA1","01/12/2010",11,"F","R",34209,94,"A",NA,NA
45046695,"BH6","01/21/2010",10,"F","R",19973,102,"A",74,11
45138476,"AK3","01/18/2010",13,"F","R",59038,96,"A",NA,NA
45155942,"AT9","01/26/2010",14,"F","R",46218,95,"C",NA,NA
45280047,"AE2","01/21/2010",12,"D","R",17241,92,"A",NA,NA
45675360,"AF2","01/09/2010",11,"F","R",21050,96,"A",NA,NA
45687373,"BF4","01/25/2010",9,"F","R",32968,89,"A",NA,NA
45944535,"AA1","01/26/2010",8,"F","R",21919,98,"A",NA,NA
46220810,"AA6","01/14/2010",6,"F","R",85710,97,"A",NA,NA
46282174,"AA2","01/09/2010",9,"F","R",21221,92,"A",NA,NA
46343646,"AA4","01/14/2010",13,"F","R",48118,92,"A",NA,NA
46399424,"AA6","01/20/2010",9,"F","R",23227,92,"A",NA,NA
46565560,"AA1","01/25/2010",12,"F","R",33770,81,"A",NA,NA
46572988,"AA2","01/16/2010",9,"F","R",34243,92,"A",60,6
46820726,"AA5","01/20/2010",10,"F","R",7928,95,"A",215,11
47187281,"AA6","01/21/2010",10,"F","R",22043,86,"A",263,20
47328307,"AA5","01/20/2010",15,"F","R",7444,103,"A",NA,NA
47387477,"AG6","01/13/2010",12,"F","R",12054,84,"A",40,2
47496658,"BK1","01/20/2010",10,"F","R",8106,94,"A",NA,NA
47669833,"AT6","01/19/2010",13,"F","R",2675,95,"A",60,3
47680269,"AX7","01/26/2010",15,"F","R",55422,90,"A",NA,NA
47732235,"AR5","01/20/2010",16,"F","R",27403,98,"A",NA,NA
47759774,"AA6","01/21/2010",16,"F","R",34668,92,"A",25,7
47822200,"AE1","01/26/2010",13,"F","R",95242,96,"A",NA,NA
47880554,"AF4","01/21/2010",9,"F","N",22849,92,"A",NA,NA
47960844,"AV7","01/26/2010",15,"F","R",4210,94,"A",NA,NA
48091292,"AW2","01/21/2010",17,"F","R",53716,77,"A",NA,NA
48121677,"AA1","01/23/2010",15,"F","R",48040,91,"A",NA,NA
48212450,"AF4","01/25/2010",16,"F","R",21601,98,"A",225,9
48327076,"AL3","01/22/2010",10,"F","R",49601,96,"A",NA,NA
48341507,"AF2","01/14/2010",9,"F","R",92653,106,"A",NA,NA
48449664,"AE2","01/15/2010",17,"F","R",34606,94,"A",114,14
48491658,"AA6","01/21/2010",14,"F","R",29803,95,"A",NA,NA
48551758,"BA3","01/26/2010",6,"F","R",61611,97,"A",NA,NA
48628242,"AD9","01/20/2010",17,"F","R",2906,93,"A",NA,NA
48679278,"AA2","01/25/2010",14,"F","R",19073,84,"A",10,1
48724231,"AA1","01/21/2010",17,"F","R",85351,91,"A",NA,NA
48885180,"AA4","01/21/2010",16,"F","R",98311,93,"A",10,1
48889174,"AA3","01/20/2010",10,"F","R",33772,91,"A",NA,NA
48897219,"AA5","01/22/2010",15,"F","R",7946,96,"A",NA,NA
48996680,"BE3","01/12/2010",10,"F","R",1104,84,"A",NA,NA
49201957,"AF4","01/13/2010",14,"F","R",18360,92,"A",3,1
49357718,"AA1","01/21/2010",17,"F","R",46614,95,"A",27.5,4
49373798,"AF4","01/12/2010",14,"F","R",17316,92,"A",NA,NA
49395908,"AA3","01/14/2010",17,"F","R",92692,95,"A",NA,NA
49481666,"AZ7","01/25/2010",14,"F","R",60453,70,"A",NA,NA
49525710,"AF4","01/05/2010",10,"F","R",13205,95,"A",40,4
49744766,"AF4","01/04/2010",12,"F","R",14615,94,"A",25,5
49806334,"AM2","01/21/2010",9,"F","R",95973,94,"A",NA,NA
49880727,"AD3","01/23/2010",13,"F","R",60656,104,"A",450,27
49990716,"AA5","01/22/2010",10,"F","R",20137,94,"C",NA,NA
50001668,"AL4","01/24/2010",9,"F","R",8107,92,"A",20,2
50149103,"AA3","01/21/2010",14,"F","R",17062,101,"A",65.5,7
50189349,"AE9","01/16/2010",11,"F","R",7010,95,"A",130,13
50260710,"BD4","01/25/2010",17,"F","R",12309,90,"A",NA,NA
50261254,"AA3","01/25/2010",14,"F","R",19064,88,"A",NA,NA
50281997,"AA3","01/12/2010",11,"F","R",63017,87,"A",NA,NA
50319805,"AA2","01/25/2010",17,"F","R",44515,91,"A",NA,NA
50339456,"AF4","01/17/2010",13,"F","R",25705,93,"A",537,58
50364470,"AA4","01/22/2010",15,"F","R",7403,90,"A",NA,NA
50466507,"AA6","01/21/2010",7,"F","R",10580,92,"A",NA,NA
50697515,"AC7","01/04/2010",15,"D","R",6484,96,"A",25,5
51076024,"AA4","01/26/2010",8,"F","R",2364,94,"A",515,15
51143105,"AA6","01/21/2010",18,"F","R",30269,92,"A",NA,NA
51302008,"AW5","01/14/2010",13,"F","R",3894,100,"A",NA,NA
51351872,"AK2","01/23/2010",10,"F","R",7657,89,"A",NA,NA
51439792,"AA1","01/22/2010",9,"F","R",34601,78,"A",NA,NA
51501484,"BF1","01/21/2010",9,"F","R",61081,93,"A",NA,NA
51579969,"AA6","01/15/2010",15,"F","R",93010,94,"A",75,4
51594745,"AA1","01/15/2010",14,"F","R",22003,81,"A",NA,NA
51659316,"AA2","01/08/2010",12,"C","R",98072,98,"A",10,1
51902062,"AV3","01/16/2010",17,"F","R",88011,98,"A",50,5
51929099,"BA8","01/26/2010",16,"F","R",15637,96,"A",NA,NA
52015161,"BD6","01/21/2010",13,"F","R",95370,86,"A",NA,NA
52047768,"AA3","01/26/2010",11,"F","R",8226,97,"B",NA,NA
52060142,"AD2","01/25/2010",14,"F","R",53143,90,"A",NA,NA
52247764,"AB5","01/11/2010",12,"E","R",6426,94,"A",NA,NA
52266806,"AD7","01/21/2010",11,"F","R",85381,81,"A",NA,NA
52275708,"AH1","01/21/2010",9,"D","N",3870,90,"A",NA,NA
52277746,"BH3","01/20/2010",9,"F","R",18629,91,"A",70,5
52306099,"AA6","01/16/2010",15,"F","R",49203,94,"A",37,6
52378593,"AA4","01/18/2010",9,"F","R",48070,90,"A",40,3
52467594,"AA4","01/23/2010",10,"F","R",10530,88,"A",30,3
52593415,"AU5","01/19/2010",17,"F","R",49008,95,"A",NA,NA
52629714,"BB2","01/21/2010",17,"F","R",97024,93,"B",NA,NA
52667912,"AA1","01/18/2010",16,"F","R",48124,92,"A",30,2
52742244,"AA3","01/20/2010",8,"F","N",2842,83,"A",NA,NA
52918364,"AA1","01/24/2010",15,"F","R",21093,78,"A",160,5
53415584,"BE6","01/20/2010",13,"F","R",54016,91,"A",142,12
53668125,"AF8","01/26/2010",9,"F","R",59601,86,"A",NA,NA
54240197,"BH6","01/21/2010",13,"F","R",19348,89,"A",70,7
54289087,"AA5","01/22/2010",16,"F","R",7436,97,"A",144,21
54369624,"AF4","01/11/2010",13,"F","R",14445,95,"A",NA,NA
54386610,"BA8","01/25/2010",6,"F","N",15101,93,"A",29,6
54446117,"AR7","01/26/2010",9,"F","R",6093,95,"A",NA,NA
54461934,"AH5","01/22/2010",10,"F","R",60172,89,"A",40,4
54464243,"AD4","01/11/2010",12,"D","R",14905,84,"A",36,5
54465661,"AF4","01/04/2010",10,"F","R",24141,93,"A",NA,NA
54527866,"BE1","01/25/2010",15,"F","R",99212,92,"A",NA,NA
54569488,"AA5","01/26/2010",8,"F","R",20817,86,"A",NA,NA
54737408,"AA3","01/26/2010",9,"F","R",8816,92,"A",793,31
54843172,"BH7","01/25/2010",17,"F","R",28456,87,"C",NA,NA
54857131,"AG4","01/11/2010",12,"F","R",44303,92,"A",NA,NA
54895883,"AA4","01/26/2010",14,"F","R",2346,94,"A",NA,NA
54935077,"AA3","01/17/2010",12,"F","R",33777,91,"A",NA,NA
54946272,"AS1","01/14/2010",15,"F","R",96815,91,"A",NA,NA
54963749,"BD5","01/25/2010",17,"F","R",18436,82,"A",155,16
55034144,"AJ9","01/21/2010",13,"C","R",48138,81,"A",NA,NA
55194674,"AG4","01/19/2010",15,"D","R",3051,92,"A",5,1
55196059,"AY1","01/26/2010",15,"F","R",8807,95,"A",195,18
55202006,"AE2","01/20/2010",10,"F","R",63119,92,"A",NA,NA
55300735,"AA2","01/22/2010",14,"F","R",20906,94,"A",NA,NA
55468862,"AC7","01/21/2010",11,"F","R",93446,91,"A",NA,NA
55554539,"AF4","01/09/2010",10,"F","R",14432,91,"A",NA,NA
55564785,"AF4","01/11/2010",8,"F","R",24018,92,"A",25,1
55594527,"AA6","01/20/2010",18,"F","R",33782,87,"A",NA,NA
55640817,"AD8","01/17/2010",8,"F","R",34436,93,"B",NA,NA
55717458,"AR4","01/22/2010",15,"F","R",27405,91,"A",NA,NA
55974679,"BB6","01/25/2010",13,"F","R",81005,87,"A",NA,NA
55988620,"BC6","01/13/2010",16,"F","R",61108,87,"A",NA,NA
55992465,"AF4","01/21/2010",15,"F","R",14606,101,"A",40,4
56012388,"AM2","01/19/2010",9,"F","R",95954,92,"A",NA,NA
56031941,"AA1","01/26/2010",13,"F","R",23860,86,"A",NA,NA
56269715,"AL9","01/25/2010",15,"F","R",19078,89,"A",NA,NA
56285414,"AF1","01/14/2010",12,"F","R",88005,83,"A",NA,NA
56288632,"AA4","01/17/2010",9,"F","R",95448,90,"A",70,5
56363054,"AA2","01/21/2010",11,"F","R",85375,85,"A",NA,NA
56508344,"AA6","01/12/2010",9,"F","R",44646,85,"A",25,2
56585912,"AA3","01/12/2010",9,"F","R",85206,97,"A",NA,NA
56599673,"AA4","01/10/2010",11,"F","R",92028,95,"A",NA,NA
56673965,"AF4","01/05/2010",11,"F","R",14534,91,"A",NA,NA
56719107,"AA4","01/12/2010",14,"F","R",48001,93,"A",20,2
56719586,"AA5","01/20/2010",10,"F","R",8005,93,"A",15,1
56719644,"AA4","01/15/2010",11,"F","R",95125,99,"A",NA,NA
56758683,"AA3","01/23/2010",18,"F","R",92260,90,"A",NA,NA
56803737,"AA6","01/14/2010",17,"F","R",93010,95,"A",NA,NA
57090094,"AA5","01/22/2010",16,"F","R",7928,93,"A",NA,NA
57107039,"AF4","01/15/2010",11,"F","R",26070,91,"A",NA,NA
57347056,"AA5","01/21/2010",11,"F","R",8005,93,"A",NA,NA
57500639,"AA2","01/19/2010",11,"C","R",6851,97,"A",NA,NA
57574626,"BC4","01/22/2010",15,"F","R",14534,94,"A",NA,NA
57596389,"AA1","01/12/2010",18,"F","R",85351,89,"A",NA,NA
57829236,"AB9","01/13/2010",13,"E","R",28562,92,"A",NA,NA
57838609,"BC6","01/14/2010",15,"F","R",53511,94,"A",20,2
57890048,"AH4","01/13/2010",10,"F","R",60089,84,"A",NA,NA
58025503,"BH6","01/19/2010",16,"F","R",19930,95,"A",NA,NA
58110800,"AZ3","01/21/2010",14,"F","R",32702,93,"A",NA,NA
58194432,"AA4","01/15/2010",11,"F","R",91355,89,"A",NA,NA
58402777,"BH1","01/25/2010",13,"F","R",19363,82,"A",757.5,21
58489964,"AK2","01/19/2010",10,"F","R",7650,92,"A",11,3
58570516,"AG3","01/12/2010",14,"F","R",44333,95,"A",NA,NA
58639287,"AD7","01/20/2010",14,"F","R",3106,91,"A",NA,NA
58662172,"AT7","01/20/2010",9,"F","R",2631,92,"A",NA,NA
58772542,"AA2","01/20/2010",14,"F","R",10804,91,"A",115,5
58847203,"BD4","01/15/2010",13,"F","R",12306,91,"A",60,6
58881087,"AE8","01/21/2010",11,"F","R",8406,89,"A",NA,NA
58916420,"AA6","01/22/2010",11,"F","R",75229,88,"A",40,3
58960485,"AA6","01/22/2010",10,"F","R",72116,96,"A",NA,NA
58964511,"AA1","01/13/2010",10,"F","R",34684,92,"A",5,1
59143305,"AM6","01/23/2010",12,"F","R",29108,95,"A",NA,NA
59286765,"AA4","01/12/2010",10,"F","R",92028,83,"A",75,3
59296723,"AA2","01/15/2010",7,"F","R",48236,96,"B",NA,NA
59372235,"BF5","01/21/2010",14,"F","R",17837,94,"A",NA,NA
59443861,"AF4","01/07/2010",17,"F","R",22601,93,"A",2,1
59517979,"AB6","01/09/2010",17,"F","R",90034,91,"A",NA,NA
59612259,"BF3","01/21/2010",12,"F","R",34997,92,"A",NA,NA
59657106,"AA3","01/15/2010",8,"F","N",63131,83,"A",NA,NA
59688895,"AA3","01/21/2010",13,"F","R",85206,91,"A",NA,NA
59715540,"AA6","01/26/2010",17,"D","R",30013,89,"A",NA,NA
59827311,"AA1","01/13/2010",7,"F","R",48386,93,"A",NA,NA
59869073,"AF5","01/26/2010",11,"F","R",55041,89,"A",NA,NA
59935460,"AE4","01/12/2010",9,"F","R",63123,91,"A",20,2
59945402,"AA6","01/21/2010",16,"F","R",38117,83,"A",NA,NA
59975268,"AE4","01/26/2010",12,"D","R",34654,94,"A",NA,NA
60311792,"AA3","01/21/2010",15,"F","R",34285,92,"A",NA,NA
60348828,"AF4","01/16/2010",10,"F","R",17938,93,"A",NA,NA
60818150,"AF4","01/16/2010",16,"F","R",21502,101,"A",NA,NA
60872645,"AW5","01/19/2010",10,"F","R",3102,97,"B",NA,NA
60948189,"BC7","01/15/2010",10,"F","R",95632,91,"A",35,4
61080727,"AG2","01/21/2010",12,"E","R",47712,89,"A",NA,NA
61162251,"AV8","01/20/2010",16,"F","R",68310,91,"A",NA,NA
61218962,"AA1","01/20/2010",12,"F","R",92078,93,"A",NA,NA
61220364,"AB6","01/02/2010",13,"C","R",46320,91,"C",NA,NA
61261731,"AA2","01/15/2010",13,"F","R",92651,91,"A",10,1
61322244,"AA2","01/17/2010",10,"F","R",89060,92,"A",47,5
61828216,"AA3","01/21/2010",17,"F","R",33881,95,"A",1,1
61930954,"AF4","01/15/2010",9,"F","R",28227,90,"A",NA,NA
62074497,"AB3","01/03/2010",9,"E","R",45406,92,"A",NA,NA
62117247,"AG2","01/11/2010",9,"E","R",98007,95,"A",10,1
62331814,"AA8","01/21/2010",16,"F","R",48152,87,"A",NA,NA
62655253,"BD9","01/25/2010",10,"F","R",83850,80,"A",40,5
62719224,"AA3","01/16/2010",6,"F","R",33772,91,"A",100,4
62770888,"BA5","01/14/2010",14,"F","R",15220,95,"A",NA,NA
62961628,"AX5","01/22/2010",15,"F","R",46319,87,"A",50,5
63149884,"AW5","01/20/2010",7,"F","R",3275,93,"A",45,3
63160238,"AA5","01/13/2010",14,"F","R",48315,89,"A",NA,NA
63234181,"BC7","01/21/2010",9,"F","R",95959,91,"A",NA,NA
63252803,"AA3","01/19/2010",11,"F","R",34465,89,"A",NA,NA
63283279,"AF8","01/15/2010",16,"F","R",97527,101,"A",10,1
63349534,"AG3","01/21/2010",15,"F","R",44224,0,"A",17,2
63408678,"AA6","01/18/2010",13,"F","R",48906,92,"A",NA,NA
63470959,"AA4","01/21/2010",11,"F","R",44122,75,"A",NA,NA
63482426,"AB9","01/14/2010",10,"F","R",88005,0,"A",NA,NA
63511141,"BB2","01/19/2010",10,"F","R",97230,96,"A",NA,NA
63520241,"AA9","01/22/2010",10,"F","R",21921,95,"A",80,8
63521819,"AF7","01/15/2010",11,"F","R",98908,91,"A",25,1
